"Mirra Andreeva","Ons Jabeur",RH,RH,0,2,0,1,0,0,2024-01-17,Australian_Open,4,2,22,2,2,99,2,99,2,7,7,3,2,22,2,2,2,2,99,2,7,7,2,1,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand down the middle
"Ons Jabeur","Mirra Andreeva",RH,RH,2,0,1,0,0,0,2024-01-17,Australian_Open,4,2,22,7,3,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,3,2,22,2,2,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Mirra Andreeva","Ons Jabeur",RH,RH,0,2,0,1,0,0,2024-01-17,Australian_Open,4,3,24,8,1,99,2,99,2,4,3,4,2,22,7,3,99,2,99,2,7,7,4,2,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand slice down the line (long),  unforced error
"Mirra Andreeva","Ons Jabeur",RH,RH,1,2,0,1,0,0,2024-01-17,Australian_Open,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve wide
"Ons Jabeur","Mirra Andreeva",RH,RH,2,1,1,0,0,0,2024-01-17,Australian_Open,3,3,24,7,3,99,2,99,2,3,99,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand slice return crosscourt,  forced error
"Mirra Andreeva","Ons Jabeur",RH,RH,1,3,0,1,0,0,2024-01-17,Australian_Open,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve down the T
"Ons Jabeur","Mirra Andreeva",RH,RH,3,1,1,0,0,0,2024-01-17,Australian_Open,3,2,22,7,3,2,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand return crosscourt (deep)
"Mirra Andreeva","Ons Jabeur",RH,RH,1,3,0,1,0,0,2024-01-17,Australian_Open,4,3,22,7,3,99,2,99,2,7,7,3,2,22,7,3,2,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Ons Jabeur","Mirra Andreeva",RH,RH,3,1,1,0,0,0,2024-01-17,Australian_Open,4,3,22,8,1,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,3,2,22,7,3,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand down the line
"Mirra Andreeva","Ons Jabeur",RH,RH,1,3,0,1,0,0,2024-01-17,Australian_Open,4,1,1,7,1,99,2,99,2,7,7,4,3,22,8,1,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand crosscourt
"Ons Jabeur","Mirra Andreeva",RH,RH,3,1,1,0,0,0,2024-01-17,Australian_Open,4,1,1,2,2,99,2,99,2,4,3,4,1,1,7,1,99,2,99,2,7,7,4,3,22,8,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand down the middle (long),  unforced error
"Ons Jabeur","Mirra Andreeva",RH,RH,0,0,0,2,0,0,2024-01-17,Australian_Open,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve down the T
"Mirra Andreeva","Ons Jabeur",RH,RH,0,0,2,0,0,0,2024-01-17,Australian_Open,3,2,32,2,2,2,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand lob return down the middle (deep)
"Ons Jabeur","Mirra Andreeva",RH,RH,0,0,0,2,0,0,2024-01-17,Australian_Open,4,2,1,7,1,99,2,99,1,7,7,3,2,32,2,2,2,2,99,2,7,7,1,1,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand approach shot crosscourt
"Mirra Andreeva","Ons Jabeur",RH,RH,0,0,2,0,0,0,2024-01-17,Australian_Open,4,1,1,8,3,99,2,99,2,5,7,4,2,1,7,1,99,2,99,1,7,7,3,2,32,2,2,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand down the line,  winner
"Ons Jabeur","Mirra Andreeva",RH,RH,0,1,0,2,0,0,2024-01-17,Australian_Open,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve wide
"Mirra Andreeva","Ons Jabeur",RH,RH,1,0,2,0,0,0,2024-01-17,Australian_Open,3,3,22,8,1,3,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand return down the line (very deep)
"Ons Jabeur","Mirra Andreeva",RH,RH,0,1,0,2,0,0,2024-01-17,Australian_Open,4,1,1,7,1,99,2,99,2,7,7,3,3,22,8,1,3,2,99,2,7,7,1,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand crosscourt
"Mirra Andreeva","Ons Jabeur",RH,RH,1,0,2,0,0,0,2024-01-17,Australian_Open,4,1,1,2,2,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,3,3,22,8,1,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand down the middle
"Ons Jabeur","Mirra Andreeva",RH,RH,0,1,0,2,0,0,2024-01-17,Australian_Open,4,2,22,7,3,99,2,99,2,7,7,4,1,1,2,2,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Mirra Andreeva","Ons Jabeur",RH,RH,1,0,2,0,0,0,2024-01-17,Australian_Open,4,3,22,2,2,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,4,1,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand down the middle
"Ons Jabeur","Mirra Andreeva",RH,RH,0,1,0,2,0,0,2024-01-17,Australian_Open,4,2,1,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand down the middle
"Mirra Andreeva","Ons Jabeur",RH,RH,1,0,2,0,0,0,2024-01-17,Australian_Open,4,2,22,7,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Ons Jabeur","Mirra Andreeva",RH,RH,0,1,0,2,0,0,2024-01-17,Australian_Open,4,3,22,7,3,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Mirra Andreeva","Ons Jabeur",RH,RH,1,0,2,0,0,0,2024-01-17,Australian_Open,4,3,24,7,3,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand slice crosscourt
"Ons Jabeur","Mirra Andreeva",RH,RH,0,1,0,2,0,0,2024-01-17,Australian_Open,4,3,5,9,1,99,2,99,2,4,4,4,3,24,7,3,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand volley inside-in (wide and long),  unforced error
"Ons Jabeur","Mirra Andreeva",RH,RH,0,2,0,2,0,0,2024-01-17,Australian_Open,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve wide
"Mirra Andreeva","Ons Jabeur",RH,RH,2,0,2,0,0,0,2024-01-17,Australian_Open,3,1,3,7,1,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand chip/slice return crosscourt (deep)
"Ons Jabeur","Mirra Andreeva",RH,RH,0,2,0,2,0,0,2024-01-17,Australian_Open,4,1,1,8,3,99,2,99,1,5,7,3,1,3,7,1,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand approach shot down the line,  winner
"Ons Jabeur","Mirra Andreeva",RH,RH,1,2,0,2,0,0,2024-01-17,Australian_Open,1,3,99,5,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve to body,  fault (net)
"Ons Jabeur","Mirra Andreeva",RH,RH,1,2,0,2,0,0,2024-01-17,Australian_Open,2,3,99,6,2,99,2,99,2,7,7,1,3,99,5,3,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, 2nd serve down the T
"Mirra Andreeva","Ons Jabeur",RH,RH,2,1,2,0,0,0,2024-01-17,Australian_Open,3,2,1,2,2,3,2,99,2,7,7,2,3,99,6,2,99,2,99,2,7,7,1,3,99,5,3,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand return down the middle (very deep)
"Ons Jabeur","Mirra Andreeva",RH,RH,1,2,0,2,0,0,2024-01-17,Australian_Open,4,2,22,10,1,99,2,99,2,4,1,3,2,1,2,2,3,2,99,2,7,7,2,3,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand inside-out (net),  unforced error
"Ons Jabeur","Mirra Andreeva",RH,RH,1,3,0,2,0,0,2024-01-17,Australian_Open,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve wide,  fault (net)
"Ons Jabeur","Mirra Andreeva",RH,RH,1,3,0,2,0,0,2024-01-17,Australian_Open,2,1,99,4,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, 2nd serve wide
"Mirra Andreeva","Ons Jabeur",RH,RH,3,1,2,0,0,0,2024-01-17,Australian_Open,3,1,1,8,3,3,2,99,2,7,7,2,1,99,4,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand return down the line (very deep)
"Ons Jabeur","Mirra Andreeva",RH,RH,1,3,0,2,0,0,2024-01-17,Australian_Open,4,3,22,7,3,99,2,99,2,7,7,3,1,1,8,3,3,2,99,2,7,7,2,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Mirra Andreeva","Ons Jabeur",RH,RH,3,1,2,0,0,0,2024-01-17,Australian_Open,4,3,22,7,3,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,3,1,1,8,3,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Ons Jabeur","Mirra Andreeva",RH,RH,1,3,0,2,0,0,2024-01-17,Australian_Open,4,3,22,7,3,99,2,99,2,4,2,4,3,22,7,3,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt (wide),  unforced error
"Mirra Andreeva","Ons Jabeur",RH,RH,0,0,0,3,0,0,2024-01-17,Australian_Open,1,1,99,6,2,99,2,99,2,1,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve down the T,  ace
"Mirra Andreeva","Ons Jabeur",RH,RH,0,1,0,3,0,0,2024-01-17,Australian_Open,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve down the T
"Ons Jabeur","Mirra Andreeva",RH,RH,1,0,3,0,0,0,2024-01-17,Australian_Open,3,2,1,2,2,3,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand return down the middle (very deep)
"Mirra Andreeva","Ons Jabeur",RH,RH,0,1,0,3,0,0,2024-01-17,Australian_Open,4,2,1,10,3,99,2,99,2,7,7,3,2,1,2,2,3,2,99,2,7,7,1,3,99,6,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand inside-out
"Ons Jabeur","Mirra Andreeva",RH,RH,1,0,3,0,0,0,2024-01-17,Australian_Open,4,3,22,8,1,99,2,99,2,4,1,4,2,1,10,3,99,2,99,2,7,7,3,2,1,2,2,3,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand down the line (net),  unforced error
"Mirra Andreeva","Ons Jabeur",RH,RH,0,2,0,3,0,0,2024-01-17,Australian_Open,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve wide
"Ons Jabeur","Mirra Andreeva",RH,RH,2,0,3,0,0,0,2024-01-17,Australian_Open,3,1,3,8,3,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand chip/slice return down the line (deep)
"Mirra Andreeva","Ons Jabeur",RH,RH,0,2,0,3,0,0,2024-01-17,Australian_Open,4,3,24,2,2,99,2,99,2,7,7,3,1,3,8,3,2,2,99,2,7,7,1,1,99,4,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand slice down the middle
"Ons Jabeur","Mirra Andreeva",RH,RH,2,0,3,0,0,0,2024-01-17,Australian_Open,4,2,24,10,1,99,2,99,2,7,7,4,3,24,2,2,99,2,99,2,7,7,3,1,3,8,3,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand slice inside-out
"Mirra Andreeva","Ons Jabeur",RH,RH,0,2,0,3,0,0,2024-01-17,Australian_Open,4,1,1,8,3,99,2,99,2,5,7,4,2,24,10,1,99,2,99,2,7,7,4,3,24,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand down the line,  winner
"Mirra Andreeva","Ons Jabeur",RH,RH,0,3,0,3,0,0,2024-01-17,Australian_Open,1,3,99,4,3,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve wide,  fault (long)
"Mirra Andreeva","Ons Jabeur",RH,RH,0,3,0,3,0,0,2024-01-17,Australian_Open,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,3,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, 2nd serve wide
"Ons Jabeur","Mirra Andreeva",RH,RH,3,0,3,0,0,0,2024-01-17,Australian_Open,3,3,22,7,3,2,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,1,3,99,4,3,99,2,99,2,2,3,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand return crosscourt (deep)
"Mirra Andreeva","Ons Jabeur",RH,RH,0,3,0,3,0,0,2024-01-17,Australian_Open,4,3,22,7,3,99,2,99,2,4,3,3,3,22,7,3,2,2,99,2,7,7,2,3,99,4,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt (long),  unforced error
"Mirra Andreeva","Ons Jabeur",RH,RH,1,3,0,3,0,0,2024-01-17,Australian_Open,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve wide,  fault (net)
"Mirra Andreeva","Ons Jabeur",RH,RH,1,3,0,3,0,0,2024-01-17,Australian_Open,2,1,99,5,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, 2nd serve to body
"Ons Jabeur","Mirra Andreeva",RH,RH,3,1,3,0,0,0,2024-01-17,Australian_Open,3,1,1,2,2,2,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand return down the middle (deep)
"Mirra Andreeva","Ons Jabeur",RH,RH,1,3,0,3,0,0,2024-01-17,Australian_Open,4,2,1,2,2,99,2,99,2,7,7,3,1,1,2,2,2,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand down the middle
"Ons Jabeur","Mirra Andreeva",RH,RH,3,1,3,0,0,0,2024-01-17,Australian_Open,4,2,1,10,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,3,1,1,2,2,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand inside-out
"Mirra Andreeva","Ons Jabeur",RH,RH,1,3,0,3,0,0,2024-01-17,Australian_Open,4,3,24,8,1,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,4,2,1,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand slice down the line
"Ons Jabeur","Mirra Andreeva",RH,RH,3,1,3,0,0,0,2024-01-17,Australian_Open,4,1,1,7,1,99,2,99,2,7,7,4,3,24,8,1,99,2,99,2,7,7,4,2,1,10,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand crosscourt
"Mirra Andreeva","Ons Jabeur",RH,RH,1,3,0,3,0,0,2024-01-17,Australian_Open,4,1,3,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,4,3,24,8,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand chip/slice crosscourt
"Ons Jabeur","Mirra Andreeva",RH,RH,3,1,3,0,0,0,2024-01-17,Australian_Open,4,1,1,7,1,99,2,99,2,4,1,4,1,3,7,1,99,2,99,2,7,7,4,1,1,7,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand crosscourt (net),  unforced error
"Ons Jabeur","Mirra Andreeva",RH,RH,0,0,0,4,0,0,2024-01-17,Australian_Open,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html,1st serve wide,  fault (net)
"Ons Jabeur","Mirra Andreeva",RH,RH,0,0,0,4,0,0,2024-01-17,Australian_Open,2,1,99,5,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,99,99,99,99,99,99,99,99,99,99,99,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, 2nd serve to body
"Mirra Andreeva","Ons Jabeur",RH,RH,0,0,4,0,0,0,2024-01-17,Australian_Open,3,1,22,10,1,2,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,1,1,99,4,1,99,2,99,2,2,1,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand return inside-out (deep)
"Ons Jabeur","Mirra Andreeva",RH,RH,0,0,0,4,0,0,2024-01-17,Australian_Open,4,1,1,8,3,99,2,99,2,7,7,3,1,22,10,1,2,2,99,2,7,7,2,1,99,5,1,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand down the line
"Mirra Andreeva","Ons Jabeur",RH,RH,0,0,4,0,0,0,2024-01-17,Australian_Open,4,3,22,7,3,99,2,99,2,7,7,4,1,1,8,3,99,2,99,2,7,7,3,1,22,10,1,2,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Ons Jabeur","Mirra Andreeva",RH,RH,0,0,0,4,0,0,2024-01-17,Australian_Open,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,1,1,8,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand down the middle
"Mirra Andreeva","Ons Jabeur",RH,RH,0,0,4,0,0,0,2024-01-17,Australian_Open,4,2,22,7,3,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Ons Jabeur","Mirra Andreeva",RH,RH,0,0,0,4,0,0,2024-01-17,Australian_Open,4,3,22,7,3,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Mirra Andreeva","Ons Jabeur",RH,RH,0,0,4,0,0,0,2024-01-17,Australian_Open,4,3,22,7,3,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,2,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand crosscourt
"Ons Jabeur","Mirra Andreeva",RH,RH,0,0,0,4,0,0,2024-01-17,Australian_Open,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, backhand down the middle
"Mirra Andreeva","Ons Jabeur",RH,RH,0,0,4,0,0,0,2024-01-17,Australian_Open,4,2,1,7,1,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,4,3,22,7,3,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand crosscourt
"Ons Jabeur","Mirra Andreeva",RH,RH,0,0,0,4,0,0,2024-01-17,Australian_Open,4,1,1,7,1,99,2,99,2,7,7,4,2,1,7,1,99,2,99,2,7,7,4,3,22,2,2,99,2,99,2,7,7,/home/sports/hdd2/huangfy/charting/20240117-W-Australian_Open-R64-Ons_Jabeur-Mirra_Andreeva.html, forehand crosscourt
